ID,Title,Year,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,Directors,Type
196,Bill Burr: Paper Tiger,2019,18.0,8.2,1,0,0,0,Mike Binder,0
197,Bad Boys,1995,18.0,6.9,1,0,0,0,Michael Bay,0
198,The Foreigner,2017,18.0,7.0,1,0,0,0,Martin Campbell,0
199,The Danish Girl,2015,18.0,7.1,1,0,0,0,Tom Hooper,0
200,The Girl with All the Gifts,2016,18.0,6.6,1,0,0,0,Colm McCarthy,0
201,Bird Box,2018,18.0,6.6,1,0,0,0,Susanne Bier,0
202,The Ring,2002,13.0,7.1,1,0,1,0,Gore Verbinski,0
203,Hostiles,2017,18.0,7.2,1,0,0,0,Scott Cooper,0
204,Sairat,2016,,8.3,1,0,0,0,Nagraj Manjule,0
205,Trumbo,2015,18.0,7.5,1,0,1,0,Jay Roach,0
206,LA 92,2017,18.0,8.2,1,0,0,0,"Daniel Lindsay,T.J. Martin",0
207,20th Century Women,2016,18.0,7.3,1,0,0,0,Mike Mills,0
208,Kal Ho Naa Ho,2003,7.0,8.0,1,0,0,0,Nikkhil Advani,0
209,Swiss Army Man,2016,18.0,7.0,1,0,0,0,"Dan Kwan,Daniel Scheinert",0
210,In This Corner of the World,2016,13.0,7.8,1,0,0,0,Sunao Katabuchi,0
211,A Ghost Story,2017,18.0,6.9,1,0,0,0,David Lowery,0
212,United 93,2006,18.0,7.5,1,0,0,0,Paul Greengrass,0
213,Patriot Games,1992,18.0,6.9,1,0,1,0,Phillip Noyce,0
214,The Secret Life of Pets 2,2019,7.0,6.5,1,0,0,0,"Chris Renaud,Jonathan del Val",0
215,Hitch,2005,13.0,6.6,1,1,0,0,Andy Tennant,0
216,The Young Offenders,2016,,7.1,1,0,0,0,,0
217,Enemy,2013,18.0,6.9,1,0,0,0,Denis Villeneuve,0
218,Mirage,2018,18.0,7.4,1,0,1,0,Oriol Paulo,0
219,Everybody's Everything,2019,18.0,7.4,1,0,0,0,"Sebastian Jones,Ramez Silyan",0
220,Indiana Jones and the Kingdom of the Crystal Skull,2008,13.0,6.1,1,0,0,0,Steven Spielberg,0
221,The Guernsey Literary & Potato Peel Pie Society,2018,,7.4,1,0,0,0,Mike Newell,0
222,I Don't Feel at Home in This World Anymore,2017,18.0,6.9,1,0,0,0,Macon Blair,0
223,The Endless,2018,,6.5,1,0,0,0,"Justin Benson,Aaron Moorhead",0
224,Julie & Julia,2009,13.0,7.0,1,0,0,0,Nora Ephron,0
225,The Game Changers,2019,,7.9,1,0,0,0,Louie Psihoyos,0
226,Under the Shadow,2016,13.0,6.9,1,0,0,0,Babak Anvari,0
227,Angel Has Fallen,2019,18.0,6.4,1,0,0,0,Ric Roman Waugh,0
